"Gene Symbol"	"Affy ProbeId"	"TSNI Ranking"	"Binding Score *"	"TSNI score"	"pvalue TSNI"	"Area*"	"pvalue*"	"Genes found in literature (Perez & Pietenpol, Cell Cycle 6:3, e1-e9, 2007"	"Genes found in literature Truong et al,  2006 20: 3185-3197 Genes & Dev. )"	"Genes found in literature  (Yang et al, Molecular Cell 24, 593–602, November 17, 2006)"	"Genes found in literature Vigano MA et al, EMBO J. 2006 Nov 1;25(21):5105-16."
"Cxcl5"	"1419728_at"	1	0	-1.76E+00	0.0001	2.16E+01	0	0	0	0	0
"Egr1"	"1417065_at"	2	0	1.61E+00	0.0002	7.44E+00	0.0229	0	0	0	0
"Sprrl2"	"1420350_at"	3	0	-1.46E+00	0.0008	7.32E+00	0.022	0	0	0	0
"Aox4"	"1419215_at"	4	39.0983	-1.41E+00	0.0012	3.96E+00	0.0034	0	0	0	0
"Artn"	"1432032_a_at"	5	28.4485	1.34E+00	0.0021	3.35E+00	0.0001	0	1	1	0
"Nucb2"	"1418355_at"	6	0	-1.33E+00	0.0023	1.72E+00	0.0004	0	0	0	0
"Sprr2j"	"1450811_at"	7	25.2249	-1.31E+00	0.0026	1.59E+00	0.0119	0	0	0	0
"Prdm1"	"1420425_at"	8	0	-1.24E+00	0.0044	4.43E+00	0	0	0	1	0
"Prss22"	"1420352_at"	9	43.0272	-1.22E+00	0.0051	3.69E+00	0.0004	0	0	0	0
"Cyp1b1"	"1416612_at"	10	15.7143	1.20E+00	0.0058	1.18E+01	0	0	1	0	0
"Cdsn"	"1435191_at"	11	41.0119	-1.19E+00	0.0063	4.02E+00	0	0	1	0	0
"Eppk1"	"1427537_at"	12	144.2272	1.19E+00	0.0063	4.34E+00	0	0	0	0	0
"Serpinb11"	"1449451_at"	13	12.8655	-1.19E+00	0.0063	4.19E+00	0.0035	0	0	0	0
"Pthlh"	"1422324_a_at"	14	0	1.16E+00	0.0077	4.57E+00	0.0001	0	1	0	0
"Tnnt2"	"1424967_x_at"	15	19.0676	-1.15E+00	0.0082	2.93E+00	0.0013	0	0	0	0
"Bhlhb2"	"1418025_at"	16	0	-1.12E+00	0.01	6.23E+00	0	0	0	0	0
"Sprr2f"	"1449833_at"	17	0	-1.12E+00	0.01	1.97E+00	0	0	0	0	0
"2310056P07Rik"	"1451385_at"	18	48.6049	-1.11E+00	0.0107	5.80E+00	0	0	0	0	0
"Bnip3"	"1422470_at"	19	0	-1.09E+00	0.0121	3.38E+00	0.0001	0	1	0	0
"Ugcg"	"1421269_at"	20	18.4257	-1.08E+00	0.0129	3.73E+00	0	0	1	0	0
"Sprr2i"	"1422963_at"	21	0	-1.07E+00	0.0138	7.51E+00	0.0001	0	0	0	0
"Cyr61"	"1416039_x_at"	22	0	-1.07E+00	0.0138	1.96E+00	0	1	0	0	0
"Ugcg"	"1435133_at"	23	18.4257	-1.05E+00	0.0156	2.45E+00	0.0001	0	1	0	0
"Gp1bb"	"1422977_at"	24	0	-1.05E+00	0.0156	2.60E+00	0.011	0	0	0	0
"Areg"	"1421134_at"	25	0	1.05E+00	0.0156	2.17E+01	0	0	0	0	0
"Btbd3"	"1425660_at"	26	33.447	-1.04E+00	0.0166	3.22E+00	0	0	0	0	0
"Mxd1"	"1422002_at"	27	11.96	-1.02E+00	0.0188	2.98E+00	0.044	0	0	0	0
"Tmem40"	"1424966_at"	28	26.6848	-1.02E+00	0.0188	1.74E+00	0.02	0	0	0	0
"Gp1bb /// Sept5"	"1452357_at"	29	0	-9.99E-01	0.0213	4.07E+00	0	1	0	0	0
"Cyp1b1"	"1416613_at"	30	15.7143	9.85E-01	0.0232	7.79E+00	0	0	1	0	0
"Elf3"	"1416916_at"	31	20.6447	-9.46E-01	0.0291	3.01E+00	0.0152	0	1	1	0
"Tnnt2"	"1418726_a_at"	32	19.0676	-9.43E-01	0.0296	3.49E+00	0	0	0	0	0
"Pgea1"	"1451305_at"	33	0	9.34E-01	0.0312	2.21E+00	0	0	0	0	0
"Zfand6"	"1422031_a_at"	34	0	-9.32E-01	0.0315	1.55E+00	0	0	0	0	0
"Pfkl"	"1439148_a_at"	35	0	-9.23E-01	0.0332	7.91E+00	0	0	0	0	0
"Ndrg1"	"1456174_x_at"	36	10.9572	-9.18E-01	0.0341	3.43E+00	0.0007	0	1	0	0
"Psca"	"1451258_at"	37	0	-9.16E-01	0.0345	7.41E+00	0	0	0	0	0
"LOC14433 /// LOC380687 /// AK190093 /// LOC384808 /// Gapdh /// LOC432919 /// LOC545984 /// LOC622339 /// LOC630967 /// LOC632720 /// LOC639817 /// LOC665036 /// LOC667048 /// LOC667806 /// LOC670367 /// LOC671520 /// LOC671913 /// LOC672238 /// LOC676700"	"1447999_x_at"	38	0	-9.10E-01	0.0357	1.69E+00	0.0004	0	0	0	0
"Sgk"	"1416041_at"	39	0	-9.06E-01	0.0365	2.39E+00	0.0012	0	0	1	0
"Niban"	"1422567_at"	40	0	9.02E-01	0.0373	2.41E+00	0.0001	0	0	0	0
"Fos"	"1423100_at"	41	18.998	8.81E-01	0.0419	9.17E+00	0	1	0	0	0
"Elovl4"	"1451308_at"	42	61.9181	-8.70E-01	0.0444	3.08E+00	0	0	0	0	0
"Cnp1"	"1437341_x_at"	43	11.2486	8.70E-01	0.0444	1.64E+00	0.0174	0	0	0	0
"Stx3"	"1425536_at"	44	20.4015	8.62E-01	0.0464	3.46E+00	0.0002	0	0	0	0
"Muc10"	"1451637_a_at"	45	0	-8.57E-01	0.0476	2.09E+00	0	0	0	0	0
"Ifitm2"	"1417460_at"	46	0	-8.55E-01	0.0482	1.99E+00	0.0015	0	0	0	0
"Ndrg1"	"1423413_at"	47	10.9572	-8.52E-01	0.0489	5.31E+00	0.0005	0	1	0	0
"D5Ertd593e"	"1434442_at"	48	11.2036	8.50E-01	0.0495	1.20E+01	0	0	0	0	0
"Ndrl"	"1420760_s_at"	49	10.9572	-8.43E-01	0.0513	4.31E+00	0.0004	0	0	0	0
"Edn1"	"1451924_a_at"	50	16.8543	-8.38E-01	0.0527	1.40E+01	0	0	0	0	0
"Figf"	"1438954_x_at"	51	77.0515	-8.22E-01	0.0573	2.23E+00	0.02	0	0	0	0
"Ang2"	"1422415_at"	52	20.178	-8.20E-01	0.0579	1.97E+00	0.0387	0	0	0	0
"Maff"	"1418936_at"	53	0	-8.10E-01	0.0609	3.64E+00	0.0047	1	0	0	0
"Stom"	"1438910_a_at"	54	42.8458	-8.09E-01	0.0612	3.46E+00	0.0146	0	0	0	0
"Clic3"	"1429574_at"	55	0	-8.04E-01	0.0628	1.66E+00	0.0002	0	1	0	0
